# CELLxGENE census 2023-05-15 — census_info/datasets, as served from s3://cellxgene-census-public-us-west-2/cell-census/2023-05-15/soma/
# census_build_date=2023-05-15 total_cell_count=57880760 unique_cell_count=36673205 datasets=562
# Regenerate with scripts/snapshot_census.py; rows sorted by dataset_id so the bytes are reproducible.
dataset_id,collection_id,collection_name,collection_doi,dataset_title,dataset_total_cell_count
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,Myeloid,6947
0ba636a1-4754-4786-a8be-7ab3cf760fd6,48259aa8-f168-4bf5-b797-af8e88da6637,Human breast cell atlas,10.1101/2023.04.21.537845,HBCA - global,800198
0bd1a1de-3aee-40e0-b2ec-86c7a30c7149,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Bone marrow - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,40220
0c774045-26a7-40f8-9b07-6742d3c771c0,be21c2d1-2392-47d0-96fb-c625d115e0dc,Single cell RNA sequencing of CD19 CAR T-cell infusion products,10.1038/s41591-020-1061-7,Single cell RNA sequencing of CD19 CAR T-cell infusion products,133405
0caedec7-1c7d-4e79-aba2-50f6916e643f,4796c91c-9d8f-4692-be43-347b1727f9d8,MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion,10.1038/s41586-022-05496-1,MSK SPECTRUM - Macrophages,166895
0d7f4c06-a6bd-47d2-a42b-3a7196704f77,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Supercluster: Vascular,9932
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR,13623
0f4865d5-8000-4f68-8ac7-f5efea9e5e70,5c868b6f-62c5-4532-9d7f-a346ad4b50a7,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,TI stromal,75695
0fb7916e-7a68-4a4c-a441-3ab3989f29a7,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Lung - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,24540
0fdb6122-4600-40f0-a703-2da47cc7080d,e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,DCM/ACM heart cell atlas: Lymphoids,16878
1009f384-b12d-448e-ba9f-1b7d2ecfbb4e,b52eb423-5d0d-4645-b217-e1c6d38b2e72,Cells of the adult human heart,10.1038/s41586-020-2797-4,Neuronal — Cells of the adult human heart,3961
105c7dad-0468-4628-a5be-2bb42c6a8ae4,125eef58-0f61-4963-9b08-53e851ab65fb,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,10.1126/science.aat1699,mature,40268
1062c0f2-2a44-4cf9-a7c8-b5ed58b4728d,e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,DCM/ACM heart cell atlas: Endothelial cells,115548
1185a7d3-a9c1-4280-9ba5-d61895b15cac,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,38331
1196334f-a441-474a-95ee-400780941690,63d03351-06be-478e-a0db-f7a653b6b19b,Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,10.1073/pnas.2200914119,Ciliary Body,34132
11ef37ee-2173-458e-aab8-7fe35da8e47b,af893e86-8e9f-41f1-a474-ef05359b1fb7,Single-cell transcriptomic atlas for adult human retina,10.2139/ssrn.3991078,Horizontal cells in human retina,7348
11ff73e8-d3e4-4445-9309-477a2c5be6f6,83ed3be8-4cb9-43e6-9aaa-3fbbf5d1bd3a,Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes,10.1016/j.immuni.2020.03.019,Single-Cell Transcriptome Profiling of Immature Human Thymocytes,71732
124744b8-4681-474a-9894-683896122708,c353707f-09a4-4f12-92a0-cb741e57e5f0,Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,10.1038/s42003-020-0922-4,Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,15457
