# Derived extract of Supplementary Data 1, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 786c6962d01bbeeffcc88335d2e2e762f333daf399c649bec3916bc4ef2209d0
# Columns kept: project_ID, sample_ID, cell_number_reserved — every row, values unchanged. The publisher file itself is not committed.
project_ID,sample_ID,cell_number_reserved
GEO-GSE194105,GEO-GSM5828140,10070
GEO-GSE194105,GEO-GSM5828141,9161
GEO-GSE194105,GEO-GSM5828142,3901
GEO-GSE194105,GEO-GSM5828143,12596
GEO-GSE194105,GEO-GSM5828144,8591
GEO-GSE194105,GEO-GSM5828145,12474
GEO-GSE194105,GEO-GSM5828146,14968
GEO-GSE194105,GEO-GSM5828147,2733
GEO-GSE199280,GEO-GSM5968653,16133
GEO-GSE199280,GEO-GSM5968654,19843
GEO-GSE199280,GEO-GSM5968655,19320
GEO-GSE199280,GEO-GSM5968656,15997
GEO-GSE199280,GEO-GSM5968657,12272
GEO-GSE199280,GEO-GSM5968658,17744
GEO-GSE201048,GEO-GSM6049632,6567
GEO-GSE201048,GEO-GSM6049633,4867
GEO-GSE201048,GEO-GSM6049634,7245
GEO-GSE201048,GEO-GSM6049635,8313
GEO-GSE201048,GEO-GSM6049636,11609
GEO-GSE201048,GEO-GSM6049637,5140
GEO-GSE201048,GEO-GSM6049638,10537
GEO-GSE201048,GEO-GSM6049639,7445
GEO-GSE201048,GEO-GSM6049640,9388
GEO-GSE201048,GEO-GSM6049641,8884
GEO-GSE201048,GEO-GSM6049642,9114
GEO-GSE202210,GEO-GSM6106340,4813
GEO-GSE202210,GEO-GSM6106341,5862
GEO-GSE202210,GEO-GSM6106342,7455
GEO-GSE202210,GEO-GSM6106343,5090
GEO-GSE202210,GEO-GSM6106344,8316
GEO-GSE202210,GEO-GSM6106345,9071
GEO-GSE202210,GEO-GSM6106346,1891
GEO-GSE202210,GEO-GSM6106347,10440
GEO-GSE202210,GEO-GSM6106348,7365
GEO-GSE202210,GEO-GSM6106349,5633
GEO-GSE202210,GEO-GSM6106350,6246
GEO-GSE202210,GEO-GSM6106351,5797
GEO-GSE203081,GEO-GSM6153521,48146
GEO-GSE203081,GEO-GSM6153523,34581
GEO-GSE135356,GEO-GSM4006843,11693
GEO-GSE135356,GEO-GSM4006844,15830
GEO-GSE135356,GEO-GSM4006845,4446
GEO-GSE135356,GEO-GSM4006846,13690
GEO-GSE135356,GEO-GSM4006847,8263
GEO-GSE135356,GEO-GSM4006848,6908
GEO-GSE135399,GEO-GSM4007637,8160
GEO-GSE135399,GEO-GSM4007638,1018
GEO-GSE135399,GEO-GSM4007639,8850
GEO-GSE135399,GEO-GSM4007640,4266
GEO-GSE135399,GEO-GSM4007641,6325
GEO-GSE135399,GEO-GSM4007642,7076
GEO-GSE135399,GEO-GSM4007643,5246
GEO-GSE135399,GEO-GSM4007644,5919
GEO-GSE135399,GEO-GSM4453843,16733
GEO-GSE140989,GEO-GSM4191941,1177
GEO-GSE140989,GEO-GSM4191942,2342
GEO-GSE140989,GEO-GSM4191943,6090
GEO-GSE140989,GEO-GSM4191944,379
GEO-GSE140989,GEO-GSM4191945,2323
GEO-GSE140989,GEO-GSM4191946,5333
GEO-GSE140989,GEO-GSM4191947,1134
GEO-GSE140989,GEO-GSM4191948,4332
GEO-GSE140989,GEO-GSM4191949,570
GEO-GSE140989,GEO-GSM4191950,4407
GEO-GSE140989,GEO-GSM4191951,428
GEO-GSE140989,GEO-GSM4191952,5378
GEO-GSE140989,GEO-GSM4191953,7342
GEO-GSE140989,GEO-GSM4191954,3898
GEO-GSE140989,GEO-GSM4191955,3351
GEO-GSE140989,GEO-GSM4191956,2775
GEO-GSE140989,GEO-GSM4191957,2827
GEO-GSE140989,GEO-GSM4191958,1086
GEO-GSE140989,GEO-GSM4191959,541
GEO-GSE140989,GEO-GSM4191960,724
GEO-GSE140989,GEO-GSM4191961,978
GEO-GSE140989,GEO-GSM4191962,1039
GEO-GSE140989,GEO-GSM4191963,745
GEO-GSE140989,GEO-GSM4191964,5342
GEO-GSE145326,GEO-GSM4314780,8150
GEO-GSE145326,GEO-GSM4314781,9189
GEO-GSE145326,GEO-GSM4314782,10403
GEO-GSE145326,GEO-GSM4314783,8887
GEO-GSE145326,GEO-GSM4314784,9699
GEO-GSE145326,GEO-GSM4314785,7369
GEO-GSE147564,GEO-GSM4433529,9375
GEO-GSE147564,GEO-GSM4433530,5761
GEO-GSE147564,GEO-GSM4433531,4717
GEO-GSE147564,GEO-GSM4433532,2827
GEO-GSE147564,GEO-GSM4433533,5118
