# Derived extract of Supplementary Data 2, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 681c1d8827145730200755cb558462813e5c2562bac75361c7208ff35ecf6e4b
# Columns kept: Project ID, pubmed ID — every row, values unchanged. The publisher file itself is not committed.
Project ID,pubmed ID
GEO-GSE172403,
GEO-GSE173320,34103329
GEO-GSE173647,
GEO-GSE174481,
GEO-GSE175450,35032429
GEO-GSE175480,
GEO-GSE175990,34504848
GEO-GSE180885,34363841
GEO-GSE181297,
GEO-GSE181304,34671548
GEO-GSE181688,35237614
GEO-GSE182224,34624206
GEO-GSE186433,34741068
GEO-GSE186814,
GEO-GSE189916,
GEO-GSE190839,34968416
GEO-GSE191041,35597096
GEO-GSE193710,
GEO-GSE194225,
GEO-GSE198745,35241110
GEO-GSE198891,
GEO-GSE204688,
GEO-GSE205490,
GEO-GSE109037,30404016
GEO-GSE112845,30016977
GEO-GSE123926,30770823
GEO-GSE128518,31257031
GEO-GSE130000,34992217
GEO-GSE130117,32286626
GEO-GSE131086,33326782
GEO-GSE135045,35669791
GEO-GSE136974,
GEO-GSE137101,31784728
GEO-GSE142595,
GEO-GSE143686,32220329 || 33377084
GEO-GSE144945,34663810
GEO-GSE146137,32439865
GEO-GSE147047,32632204
GEO-GSE147794,32351504 || 32706839
GEO-GSE147944,32438399
GEO-GSE148212,32826895
GEO-GSE148996,32908310
GEO-GSE149313,33593977
GEO-GSE150516,33359885
GEO-GSE151569,34939038
GEO-GSE152273,34586841
GEO-GSE152915,33771987
GEO-GSE153098,34807232
GEO-GSE153819,33168808
GEO-GSE153929,32792541
GEO-GSE154109,32692727
GEO-GSE154359,32961143
GEO-GSE156905,33444816
GEO-GSE157157,33059525
GEO-GSE158667,34813505
GEO-GSE158723,34027339
GEO-GSE160625,33441552
GEO-GSE175721,35058453
GEO-GSE176031,35013146
GEO-GSE176067,35296864
GEO-GSE178175,35256815
GEO-GSE178857,34301945
GEO-GSE178910,
GEO-GSE178911,
GEO-GSE179292,34389612
GEO-GSE179361,
GEO-GSE179566,34467251
GEO-GSE179631,35164755
GEO-GSE182020,
GEO-GSE182651,33990344
GEO-GSE184255,
GEO-GSE184409,34686776
GEO-GSE184703,34659195
GEO-GSE185688,35017523
GEO-GSE187777,34857894
GEO-GSE188632,35071234
GEO-GSE190964,35118195
GEO-GSE194214,35088712
GEO-GSE195674,
GEO-GSE195832,35262677
GEO-GSE196005,
GEO-GSE196573,
GEO-GSE198729,
GEO-GSE199071,
GEO-GSE201925,
GEO-GSE202441,
GEO-GSE171314,33936064
GEO-GSE171458,34135910
GEO-GSE186476,35290245
GEO-GSE140393,
GEO-GSE140553,32665975
GEO-GSE142392,
GEO-GSE142489,33458620
GEO-GSE143353,32238801
GEO-GSE146221,32290418
GEO-GSE147482,32843640
GEO-GSE147975,33116299
GEO-GSE148215,33298886
GEO-GSE148586,32619518
GEO-GSE148820,32513233
GEO-GSE149136,33569577
GEO-GSE150311,32939092
GEO-GSE150637,32939092
GEO-GSE150692,32915138
GEO-GSE152981,32731885
GEO-GSE153421,
GEO-GSE153834,
GEO-GSE153892,34919143
GEO-GSE154358,32961143
GEO-GSE154932,33215611
GEO-GSE150672,33053333
GEO-GSE155226,32935097 || 33723017
GEO-GSE155742,35243521
GEO-GSE108041,29451492
GEO-GSE108288,29999500
GEO-GSE108394,30061114
GEO-GSE108571,
GEO-GSE114297,29950394 || 30380031 || 33529174
GEO-GSE119594,30905619
GEO-GSE119861,32051547
GEO-GSE124172,31907413
GEO-GSE129308,
GEO-GSE130105,32051591
GEO-GSE130238,31474560
GEO-GSE130318,31317052
GEO-GSE134432,32753671
GEO-GSE134571,31511693
GEO-GSE135618,31846124
GEO-GSE137429,
GEO-GSE137758,32686664
GEO-GSE139193,31772018
GEO-GSE139535,32846125
GEO-GSE156246,34911733
GEO-GSE156341,33060583
GEO-GSE156920,34021145
GEO-GSE158349,
GEO-GSE158432,33483337
GEO-GSE158937,34428202 || 34553212
GEO-GSE159745,33311516
GEO-GSE161153,33426328
GEO-GSE161470,34088950
GEO-GSE162045,
GEO-GSE163505,34799555
GEO-GSE163686,34824203
GEO-GSE163872,
GEO-GSE165477,34022129
GEO-GSE165944,
GEO-GSE167339,34489407
GEO-GSE168127,34831437
GEO-GSE168664,
GEO-GSE168668,
GEO-GSE169114,34646987
GEO-GSE169285,34952098
GEO-GSE171306,34168986
GEO-GSE173820,34018188
GEO-GSE174125,35417717
HCA-CPmicroEnvironment,
HCA-pulmonaryFibrosisPathobiology,30554520
